msgid,msgstr,occurrences,notes
Failed,失败,label_studio/data_export/models.py;label_studio/data_export/models.py;label_studio/io_storages/base_models.py;label_studio/projects/models.py;label_studio/projects/models.py,
Fixed and accepted,,label_studio/tasks/choices.py,
Gemini,,label_studio/ml_model_providers/models.py,
Google Project ID,Google 项目 ID,label_studio/io_storages/gcs/models.py,
HasGT,,label_studio/ml_models/models.py,
Imported,,label_studio/tasks/choices.py,
In Progress,进行中,label_studio/fsm/registry.py;label_studio/fsm/state_choices.py;label_studio/fsm/state_choices.py,
In progress,进行中,label_studio/data_export/models.py;label_studio/data_export/models.py;label_studio/io_storages/base_models.py;label_studio/projects/models.py;label_studio/projects/models.py,
InProgress,,label_studio/ml_models/models.py,
Initialized,,label_studio/io_storages/base_models.py,
Input,,label_studio/ml_models/models.py,
Interaction Data,,label_studio/users/product_tours/models.py,
JWT API token time to live (days),JWT API 令牌 time to live (days)),label_studio/jwt_auth/models.py,
JWT API tokens enabled,,label_studio/jwt_auth/models.py,
Label link created,Label link 创建,label_studio/webhooks/models.py,
Label link deleted,,label_studio/webhooks/models.py,
Label link updated,Label link 更新,label_studio/webhooks/models.py,
Last update time,,label_studio/webhooks/models.py,
Max session age (minutes),Max session age (minutes)),label_studio/session_policy/models.py,
Max time (minutes) between activity,,label_studio/session_policy/models.py,
Model,,label_studio/ml_model_providers/models.py,
Name,名称,label_studio/users/product_tours/models.py,
NamedEntityRecognition,,label_studio/ml_models/models.py,
None,,label_studio/ml/models.py,
Number of tokens in the completion,,label_studio/tasks/models.py,
Number of tokens in the prompt,,label_studio/tasks/models.py,
OpenAI,,label_studio/ml_model_providers/models.py,
Organization,,label_studio/ml_model_providers/models.py,
Output,,label_studio/ml_models/models.py,
Pending,,label_studio/ml_models/models.py,
Perform recursive scan over the bucket content,,label_studio/io_storages/gcs/models.py;label_studio/io_storages/s3/models.py,
Perform recursive scan over the container content,,label_studio/io_storages/azure_blob/models.py,
Perform recursive scan over the directory content,,label_studio/io_storages/localfiles/models.py,
Please enter a password %(min_length)d–%(max_length)d characters in length.,Please enter a 密码 %(min_length)d–%(max_length)d characters in length.,label_studio/users/validators.py;label_studio/users/validators.py,
Predicting,,label_studio/ml/models.py,
Prediction Meta,预测 Meta,label_studio/tasks/models.py,
Prediction Metas,预测 Metas,label_studio/tasks/models.py,
Project created,项目 创建,label_studio/webhooks/models.py,
Project deleted,项目 deleted,label_studio/webhooks/models.py,
Project updated,项目 更新,label_studio/webhooks/models.py,
Queued,,label_studio/io_storages/base_models.py,
Ready,,label_studio/users/product_tours/models.py,
Reference to the associated failed prediction,Reference to the associated 失败 预测,label_studio/tasks/models.py,
Reference to the associated prediction,Reference to the associated 预测,label_studio/tasks/models.py,
Rejected,,label_studio/tasks/choices.py,
Sample,,label_studio/ml_models/models.py,
Skipped,,label_studio/tasks/choices.py;label_studio/users/product_tours/models.py,
State,,label_studio/users/product_tours/models.py,
Submitted,,label_studio/fsm/state_choices.py;label_studio/tasks/choices.py,
Tag name,Tag 名称,label_studio/labels_manager/models.py,
Task created,任务 创建,label_studio/webhooks/models.py,
Task deleted,任务 deleted,label_studio/webhooks/models.py,
TextClassification,,label_studio/ml_models/models.py,
Time taken for inference in seconds,,label_studio/tasks/models.py,
Title,标题,label_studio/labels_manager/models.py,
Total cost,,label_studio/tasks/models.py,
Total number of tokens,,label_studio/tasks/models.py,
Training,,label_studio/ml/models.py,
URL of webhook,URL of Webhook,label_studio/webhooks/models.py;label_studio/webhooks/models.py,
Updated,更新,label_studio/tasks/choices.py,
Updated at,更新于,label_studio/labels_manager/models.py,
Use webhook for all actions,Use Webhook for 全部 actions,label_studio/webhooks/models.py,
User,,label_studio/ml_model_providers/models.py,
VertexAI,,label_studio/ml_model_providers/models.py,
Your password must be between %(min_length)d and %(max_length)d characters.,Your 密码 must be between %(min_length)d and %(max_length)d characters.,label_studio/users/validators.py,
account_key,,label_studio/io_storages/azure_blob/models.py,
account_name,,label_studio/io_storages/azure_blob/models.py,
action of webhook,action of Webhook,label_studio/webhooks/models.py,
active,,label_studio/users/models.py,
all data columns,全部 data columns,label_studio/projects/models.py,
allow newsletters,允许 newsletters,label_studio/users/models.py,
allow_skip,允许跳过,label_studio/tasks/models.py,
annotator evaluation enabled,,label_studio/projects/models.py,
api_key,,label_studio/ml_model_providers/models.py,
auth_token,,label_studio/ml_model_providers/models.py,
auto_update,,label_studio/ml/models.py,
aws_access_key_id,,label_studio/io_storages/s3/models.py,
aws_secret_access_key,,label_studio/io_storages/s3/models.py,
aws_session_token,,label_studio/io_storages/s3/models.py,
aws_sse_kms_key_id,,label_studio/io_storages/s3/models.py,
basic auth password,basic auth 密码,label_studio/ml/models.py,
basic auth user,,label_studio/ml/models.py,
batch size,,label_studio/ml/models.py,
bucket,,label_studio/io_storages/gcs/models.py;label_studio/io_storages/s3/models.py,
budget_alert_threshold,,label_studio/ml_model_providers/models.py,
budget_last_reset_date,,label_studio/ml_model_providers/models.py,
budget_limit,,label_studio/ml_model_providers/models.py,
budget_reset_period,,label_studio/ml_model_providers/models.py,
budget_total_spent,,label_studio/ml_model_providers/models.py,
bulk created,bulk 创建,label_studio/tasks/models.py,
can_delete_objects,,label_studio/io_storages/base_models.py,
cancelled_annotations,,label_studio/tasks/models.py,
cluster,,label_studio/tasks/models.py,
color,,label_studio/projects/models.py,
column,,label_studio/data_manager/models.py,
comment count,,label_studio/tasks/models.py,
common data columns,,label_studio/projects/models.py,
completed at,已完成 at,label_studio/ml_models/models.py,
completion cost,,label_studio/tasks/models.py,
completion tokens count,,label_studio/tasks/models.py,
conjunction,,label_studio/data_manager/models.py,
contact info,,label_studio/organizations/models.py,
container,,label_studio/io_storages/azure_blob/models.py,
control weights,,label_studio/projects/models.py,
created annotations,创建 标注,label_studio/projects/models.py,
created at,创建于,label_studio/core/models.py;label_studio/data_export/models.py;label_studio/data_export/models.py;label_studio/io_storages/base_models.py;label_studio/io_storages/base_models.py;label_studio/io_storages/base_models.py;label_studio/jwt_auth/models.py;label_studio/ml/models.py;label_studio/ml/models.py;label_studio/ml/models.py;label_studio/ml_models/models.py;label_studio/ml_models/models.py;label_studio/ml_models/models.py;label_studio/ml_model_providers/models.py;label_studio/organizations/models.py;label_studio/organizations/models.py;label_studio/projects/models.py;label_studio/projects/models.py;label_studio/projects/models.py;label_studio/projects/models.py;label_studio/projects/models.py;label_studio/projects/models.py;label_studio/session_policy/models.py;label_studio/tasks/models.py;label_studio/tasks/models.py;label_studio/tasks/models.py;label_studio/tasks/models.py;label_studio/tasks/models.py;label_studio/tasks/models.py;label_studio/webhooks/models.py,
created by,创建者,label_studio/data_export/models.py;label_studio/data_export/models.py;label_studio/projects/models.py,
created labels,创建 labels,label_studio/projects/models.py,
created labels in drafts,创建 labels in drafts,label_studio/projects/models.py,
created_by,,label_studio/organizations/models.py,
custom hotkeys,,label_studio/users/models.py,
custom_task_lock_ttl,,label_studio/projects/models.py,
data,,label_studio/data_manager/models.py,
data_types,,label_studio/projects/models.py,
date joined,,label_studio/users/models.py,
db,,label_studio/io_storages/redis/models.py;label_studio/io_storages/redis/models.py,
deleted at,,label_studio/organizations/models.py;label_studio/projects/models.py,
deleted by,,label_studio/projects/models.py,
description,描述,label_studio/io_storages/base_models.py;label_studio/ml/models.py;label_studio/ml_models/models.py;label_studio/projects/models.py;label_studio/projects/models.py,
does webhook send the payload,does Webhook send the payload,label_studio/webhooks/models.py,
draft created at,draft 创建 at,label_studio/tasks/models.py,
email address,电子邮件 address,label_studio/users/models.py,
enable empty annotation,enable empty 标注,label_studio/projects/models.py,
error_message,,label_studio/ml/models.py,
error_type,,label_studio/tasks/models.py,
evaluate predictions automatically,evaluate 预测 automatically,label_studio/projects/models.py,
expert instruction,,label_studio/projects/models.py,
expire_at,过期时间,label_studio/tasks/models.py,
extra,附加信息,label_studio/tasks/models.py,
extra params,附加信息 params,label_studio/ml/models.py,
finished at,完成于,label_studio/data_export/models.py;label_studio/data_export/models.py;label_studio/projects/models.py,
first name,first 名称,label_studio/users/models.py,
google application credentials,,label_studio/ml_model_providers/models.py,
google location,,label_studio/ml_model_providers/models.py,
google project id,google 项目 id,label_studio/ml_model_providers/models.py,
google_application_credentials,,label_studio/io_storages/gcs/models.py,
ground_truth,,label_studio/tasks/models.py,
host,,label_studio/io_storages/redis/models.py,
index,,label_studio/data_manager/models.py,
inference time,,label_studio/tasks/models.py,
inner id,,label_studio/tasks/models.py,
is draft,,label_studio/projects/models.py,
is webhook active,is Webhook active,label_studio/webhooks/models.py,
is_interactive,,label_studio/ml/models.py,
is_internal,,label_studio/ml_model_providers/models.py,
is_labeled,,label_studio/tasks/models.py,
key,,label_studio/io_storages/base_models.py,
label config,,label_studio/projects/models.py,
last action,,label_studio/tasks/models.py,
last activity,,label_studio/users/models.py,
last annotation activity,last 标注 activity,label_studio/users/models.py,
last comment updated at,last comment 更新 at,label_studio/tasks/models.py,
last created by,last 创建 by,label_studio/tasks/models.py,
last name,last 名称,label_studio/users/models.py,
last sync,,label_studio/io_storages/base_models.py,
last sync count,,label_studio/io_storages/base_models.py,
last_sync_job,,label_studio/io_storages/base_models.py,
lead time,耗时,label_studio/tasks/models.py;label_studio/tasks/models.py,
legacy API tokens enabled,,label_studio/jwt_auth/models.py,
maximum annotation number,maximum 标注 number,label_studio/projects/models.py,
md5 of file,,label_studio/data_export/models.py,
message,,label_studio/tasks/models.py,
min_annotations_to_start_training,,label_studio/projects/models.py,
mislabeling,,label_studio/tasks/models.py,
model version,,label_studio/ml/models.py;label_studio/ml/models.py;label_studio/ml/models.py;label_studio/projects/models.py;label_studio/tasks/models.py;label_studio/tasks/models.py,
object exists,,label_studio/io_storages/base_models.py;label_studio/io_storages/base_models.py,
operator,,label_studio/data_manager/models.py,
order,,label_studio/data_manager/models.py,
ordering,,label_studio/data_manager/models.py,
organization title,organization 标题,label_studio/organizations/models.py,
overlap,重叠,label_studio/tasks/models.py,
overlap_cohort_percentage,,label_studio/projects/models.py,
parsed label config,,label_studio/projects/models.py,
password,密码,label_studio/io_storages/redis/models.py,
path,,label_studio/io_storages/localfiles/models.py;label_studio/io_storages/redis/models.py,
phone,,label_studio/users/models.py,
pinned at,,label_studio/projects/models.py,
port,,label_studio/io_storages/redis/models.py;label_studio/io_storages/redis/models.py,
precomputed_agreement,,label_studio/tasks/models.py,
prediction,预测,label_studio/tasks/models.py,
predictions updated at,预测 更新 at,label_studio/ml_models/models.py,
prefix,,label_studio/io_storages/azure_blob/models.py;label_studio/io_storages/gcs/models.py;label_studio/io_storages/s3/models.py,
presign,,label_studio/io_storages/azure_blob/models.py;label_studio/io_storages/gcs/models.py;label_studio/io_storages/s3/models.py,
presign_ttl,,label_studio/io_storages/azure_blob/models.py;label_studio/io_storages/gcs/models.py;label_studio/io_storages/s3/models.py,
prompt,,label_studio/ml_models/models.py,
prompt cost,,label_studio/tasks/models.py,
prompt tokens count,,label_studio/tasks/models.py,
published,,label_studio/projects/models.py,
purge at,,label_studio/projects/models.py,
recursive scan,,label_studio/io_storages/azure_blob/models.py;label_studio/io_storages/gcs/models.py;label_studio/io_storages/localfiles/models.py;label_studio/io_storages/s3/models.py,
regex_filter,,label_studio/io_storages/azure_blob/models.py;label_studio/io_storages/gcs/models.py;label_studio/io_storages/localfiles/models.py;label_studio/io_storages/s3/models.py,
region_name,,label_studio/io_storages/s3/models.py,
request extra headers of webhook,request 附加信息 headers of Webhook,label_studio/webhooks/models.py,
result,结果,label_studio/tasks/models.py,
result count,结果数量,label_studio/projects/models.py;label_studio/tasks/models.py,
reveal_preannotations_interactively,,label_studio/projects/models.py,
s3_endpoint,,label_studio/io_storages/s3/models.py,
score,得分,label_studio/tasks/models.py,
selected items,,label_studio/data_manager/models.py,
show annotation history,show 标注 history,label_studio/projects/models.py,
show ground truth first,,label_studio/projects/models.py,
show instruction,,label_studio/projects/models.py,
show overlap first,show 重叠 first,label_studio/projects/models.py,
show predictions to annotator,show 预测 to annotator,label_studio/projects/models.py,
show skip button,,label_studio/projects/models.py,
staff status,,label_studio/users/models.py,
synchronizable,,label_studio/io_storages/base_models.py,
task_data_login,,label_studio/projects/models.py,
task_data_password,,label_studio/projects/models.py,
timeout,,label_studio/ml/models.py,
title,标题,label_studio/data_export/models.py;label_studio/io_storages/base_models.py;label_studio/ml/models.py;label_studio/ml_models/models.py;label_studio/ml_models/models.py;label_studio/projects/models.py;label_studio/projects/models.py,
token,令牌,label_studio/organizations/models.py;label_studio/projects/models.py,
total correct predictions,total correct 预测,label_studio/ml_models/models.py,
total cost,,label_studio/tasks/models.py,
total predictions,total 预测,label_studio/ml_models/models.py,
total tasks,total 任务,label_studio/ml_models/models.py,
total tokens count,,label_studio/tasks/models.py,
total_annotations,,label_studio/tasks/models.py,
total_predictions,,label_studio/tasks/models.py,
triggered at,,label_studio/ml_models/models.py,
type,,label_studio/data_manager/models.py,
unresolved comment count,,label_studio/tasks/models.py,
updated at,更新于,label_studio/core/models.py;label_studio/data_export/models.py;label_studio/io_storages/base_models.py;label_studio/jwt_auth/models.py;label_studio/ml/models.py;label_studio/ml/models.py;label_studio/ml/models.py;label_studio/ml_models/models.py;label_studio/ml_models/models.py;label_studio/ml_model_providers/models.py;label_studio/organizations/models.py;label_studio/organizations/models.py;label_studio/projects/models.py;label_studio/projects/models.py;label_studio/projects/models.py;label_studio/projects/models.py;label_studio/projects/models.py;label_studio/session_policy/models.py;label_studio/tasks/models.py;label_studio/tasks/models.py;label_studio/tasks/models.py;label_studio/tasks/models.py;label_studio/webhooks/models.py,
updated by,更新 by,label_studio/tasks/models.py;label_studio/tasks/models.py,
url,URL,label_studio/ml/models.py,
use_blob_urls,,label_studio/io_storages/azure_blob/models.py;label_studio/io_storages/gcs/models.py;label_studio/io_storages/localfiles/models.py;label_studio/io_storages/redis/models.py;label_studio/io_storages/s3/models.py,
user,,label_studio/users/models.py,
username,用户名,label_studio/users/models.py,
users,,label_studio/users/models.py,
value,,label_studio/data_manager/models.py,
was cancelled,,label_studio/tasks/models.py,
was postponed,,label_studio/tasks/models.py,
year,,label_studio/users/models.py,
“%(path)s” does not exist,,label_studio/core/utils/static_serve.py,
